Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
22099,Text,2007-07-18,Witch-Doctors,en,"Beadle, Charles, 1881-1944?","Germans -- Africa -- Fiction; Indigenous peoples -- Africa, Central -- Fiction",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22100,Text,2007-07-19,Slavery and four years of war,en,"Keifer, Joseph Warren, 1836-1932","United States -- History -- Civil War, 1861-1865 -- Campaigns; Slavery -- United States",E456,US Civil War; Slavery; Browsing: History - American; Browsing: History - Warfare
22101,Text,2007-07-19,Wood folk at school,en,"Long, William J. (William Joseph), 1867-1952",Animal behavior; Animals -- Anecdotes,QL,Animals-Wild; Browsing: Nature/Gardening/Animals; Browsing: Science - General
22102,Text,2007-07-19,The Hills of Home,en,"Coppel, Alfred, 1921-2004",Science fiction; Short stories,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
22103,Text,2007-07-19,"With a Highland Regiment in Mesopotamia
1916—1917",en,Anonymous,"World War, 1914-1918 -- Regimental histories -- Great Britain; World War, 1914-1918 -- Campaigns -- Iraq; Great Britain. Army. Black Watch (Royal Highlanders). Battalion, 2nd",D501,World War I; Browsing: History - General; Browsing: History - Warfare
22104,Text,2007-07-19,"The Acorn-Planter
A California Forest Play (1916)",en,"London, Jack, 1876-1916",Indians of North America -- Drama,PS; ML,Browsing: Culture/Civilization/Society; Browsing: Literature
22105,Text,2007-07-19,Christianity and Ethics: A Handbook of Christian Ethics,en,"Alexander, Archibald B. D. (Archibald Browning Drysdale), 1855-1931",Christian ethics,BJ,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
22106,Text,2007-07-19,John Knox,en,"Innes, A. Taylor (Alexander Taylor), 1833-1912","Knox, John, approximately 1514-1572",BX,Famous Scots Series; Browsing: Biographies; Browsing: History - British; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
22107,Text,2007-07-19,Wood-Carving: Design and Workmanship,en,"Jack, George; Lethaby, W. R. (William Richard), 1857-1931 [Editor]",Wood-carving,NK,Technology; Woodwork; Crafts; Browsing: Art & Photography; Browsing: Engineering & Construction
22108,Text,2007-07-19,The Untroubled Mind,en,"Hall, Herbert J. (Herbert James), 1870-1923",Mental health,RA,Psychology; Browsing: Health & Medicine; Browsing: Psychiatry/Psychology
22109,Text,2007-07-19,The Black Wolf Pack,en,"Beard, Daniel Carter, 1850-1941",Detective and mystery stories; Wilderness areas -- Fiction; Hunting stories,PZ,Browsing: Crime/Mystery; Browsing: Fiction
22110,Text,2007-07-20,Martian V.F.W.,en,"Vandenburg, G. L.",Science fiction; Short stories,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
22111,Text,2007-07-20,"Pour cause de fin de bail
OEuvres anthumes",fr,"Allais, Alphonse, 1854-1905",French wit and humor,PQ,FR Humour; Browsing: Humour; Browsing: Literature
22112,Text,2007-07-20,A Child's Book of Saints,en,"Canton, William, 1845-1926; Robinson, T. H. (Thomas Heath), 1869-1954 [Illustrator]",Christian saints -- Juvenile literature,BX; PZ,Browsing: Children & Young Adult Reading; Browsing: Religion/Spirituality/Paranormal
22113,Text,2007-07-20,Peggy Stewart at School,en,"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",United States Naval Academy -- Fiction; Young women -- Education -- Fiction; Children of military personnel -- Fiction; Maryland -- Fiction; Washington (D.C.) -- Fiction,PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Teaching & Education; Browsing: Fiction
22114,Text,2007-07-21,A Plain Cookery Book for the Working Classes,en,"Francatelli, Charles Elmé, 1805-1876","Cooking, British; Working class -- Great Britain",TX,Technology; Cookbooks and Cooking; Browsing: Cooking & Drinking; Browsing: Culture/Civilization/Society; Browsing: History - British
22115,Text,2007-07-22,A Fantasy of Mediterranean Travel,en,"Bayne, Samuel G. (Samuel Gamble), 1844-1924",Mediterranean Sea -- Description and travel; Orient -- Description and travel,D,Browsing: History - General; Browsing: Travel & Geography
22116,Text,2007-07-22,Discoverers and Explorers,en,"Shaw, Edward R. (Edward Richard), 1855-1903",Discoveries in geography; Explorers; Readers -- Geography,G,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography
22117,Text,2007-07-22,"Across Coveted Lands; or, a Journey from Flushing (Holland) to Calcutta Overland",en,"Landor, Arnold Henry Savage, 1865-1924","Iran -- Description and travel; Asia, Central -- Description and travel",DS,Travel; Browsing: History - General; Browsing: Travel & Geography
22118,Text,2007-07-22,Official Report of the Niger Valley Exploring Party,en,"Delany, Martin Robison, 1812-1885",Yoruba (African people); African Americans -- Colonization -- Africa; Liberia -- Description and travel,DT,Browsing: Travel & Geography
22119,Text,2007-07-22,The Satires of A. Persius Flaccus,la,"Persius; Jahn, Otto, 1813-1869 [Contributor]; Gildersleeve, Basil L. (Basil Lanneau), 1831-1924 [Editor]","Verse satire, Latin; Rome -- Poetry",PA,Browsing: History - General; Browsing: Literature; Browsing: Poetry
22120,Text,2007-07-22,"Chaucer's Works, Volume 4 — The Canterbury Tales",enm,"Chaucer, Geoffrey, 1343?-1400; Skeat, Walter W. (Walter William), 1835-1912 [Editor]",Christian pilgrims and pilgrimages -- Poetry,PR,Best Books Ever Listings; Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Poetry
22121,Text,2007-07-23,Olive: A Novel,en,"Craik, Dinah Maria Mulock, 1826-1887; Bowers, G. (Georgina), 1836-1912 [Illustrator]",England -- Fiction; Young women -- Fiction; Domestic fiction; Bildungsromans; Religious fiction; Young women with disabilities -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22122,Text,2007-07-23,Elias Lönnrot: Biografiskt utkast,sv,"Ahlqvist, August, 1826-1889","Lönnrot, Elias, 1802-1884",PH,Browsing: Biographies; Browsing: Literature
22123,Text,2007-07-23,Zum wilden Mann,de,"Raabe, Wilhelm, 1831-1910","Germany -- Social life and customs -- 19th century -- Fiction; Germany, Northern -- Fiction",PT,DE Prosa; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature; Browsing: Fiction
22124,Text,2007-07-23,"The Golden Shoemaker
or 'Cobbler' Horn",en,"Keyworth, J. W.",Inheritance and succession -- Fiction; Christian life -- Fiction; Philanthropists -- Fiction; Missing children -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22125,Text,2007-07-23,"The Venetian Painters of the Renaissance
Third Edition",en,"Berenson, Bernard, 1865-1959","Art, Renaissance; Painters -- Italy -- Venice",ND,Art; Browsing: Art & Photography; Browsing: Culture/Civilization/Society
22126,Text,2007-07-24,"Notes and Queries, Number 35, June 29, 1850
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",en,"Various; Bell, George, 1814-1890 [Editor]",Questions and answers -- Periodicals,AG,Notes and Queries; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
22127,Text,2007-07-24,"Notes and Queries, Number 34, June 22, 1850
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",en,"Various; Bell, George, 1814-1890 [Editor]",Questions and answers -- Periodicals,AG,Notes and Queries; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
22128,Text,2007-07-26,Bessie Costrell,en,"Ward, Humphry, Mrs., 1851-1920",Villages -- England -- Fiction; Poor -- Fiction,PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22129,Text,2007-07-24,"""Wee Tim'rous Beasties"": Studies of Animal life and Character",en,"English, Douglas, 1870-1939",Animals,QL,Biology; Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Science - Genetics/Biology/Evolution
22130,Text,2007-07-24,"The Idler Magazine, Volume III, April 1893
An Illustrated Monthly",en,Various,London (England) -- Periodicals,AP,The Idler; Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference
22131,Text,2007-07-24,"The Story of the Upper Canadian Rebellion, Volume 1",en,"Dent, John Charles, 1841-1888","Canada -- History -- Rebellion, 1837-1838; Ontario -- Politics and government",F1001,Canada; Browsing: History - American; Browsing: History - British; Browsing: History - General
22132,Text,2007-07-24,Giants on the Earth,en,"Meek, S. P. (Sterner St. Paul), 1894-1972",Science fiction,PS,Science Fiction; Astounding Stories; Browsing: Literature; Browsing: Science-Fiction & Fantasy
22133,Text,2007-07-24,"Punch, or the London Charivari, Vol. 104, February 18, 1893",en,"Various; Burnand, F. C. (Francis Cowley), 1836-1917 [Editor]",English wit and humor -- Periodicals,AP,Punch; Browsing: Humour; Browsing: Journals
22134,Text,2007-07-24,"Gathering Jewels
The Secret of a Beautiful Life: In Memoriam of Mr. & Mrs. James Knowles. Selected from Their Diaries.",en,"Knowles, James, 1811-1886; Knowles, Matilda Darroch, 1811-1886; Young, Duncan McNeill, 1838-1891 [Editor]","Knowles, James, 1811-1886; Knowles, Matilda Darroch, 1811-1886; Allen Street Presbyterian Church (New York, N.Y.)",BX,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
22135,Text,2007-07-24,The Moral Economy,en,"Perry, Ralph Barton, 1876-1957",Ethics,BJ,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
22136,Text,2007-07-24,"The Book-Hunter
A New Edition, with a Memoir of the Author",en,"Burton, John Hill, 1809-1881",Book collecting; Bibliomania,Z,Bibliomania; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
22137,Text,2007-07-24,Rímur af Grámanni í Garðshorni,is,"Jón Hjaltason, 1839-1883",Poetry,PT,Browsing: Literature; Browsing: Poetry
22138,Text,2007-07-24,"Notes and Queries, Number 54, November 9, 1850
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",en,"Various; Bell, George, 1814-1890 [Editor]",Questions and answers -- Periodicals,AG,Notes and Queries; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature
22139,Text,2007-07-25,"Leiðarvísir í ástamálum
I. Karlmenn",is,"Ingimundur Sveinsson, 1873-1926",Marriage; Man-woman relationships,HQ,Browsing: Gender & Sexuality Studies; Browsing: Parenthood & Family Relations; Browsing: Sociology
22140,Text,2007-07-25,The Wrong Woman,en,"Stewart, Charles D. (Charles David), 1868-1960; Brett, Harold, 1880-1955 [Illustrator]",Texas -- Fiction,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22141,Text,2007-07-25,"Joy in Service; Forgetting, and Pressing Onward; Until the Day Dawn",en,"Purves, George Tybout, 1852-1901","Patton, Francis L. (Francis Landey), 1843-1932",BX,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal
22142,Text,2007-07-25,"The Modern Scottish Minstrel, Volume 5.
The Songs of Scotland of the Past Half Century",en,"Rogers, Charles, 1825-1890 [Editor]","Scotland -- Poetry; Songs, Scottish Gaelic -- Texts; Scottish Gaelic poetry -- Translations into English",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
22143,Text,2007-07-25,"The Panama Canal Conflict between Great Britain and the United States of America
A Study",en,"Oppenheim, L. (Lassa), 1858-1919","Panama Canal (Panama); Great Britain. Treaties, etc. United States, 1901 Nov. 18",HE,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Politics
22144,Text,2007-07-25,Good Old Anna,en,"Lowndes, Marie Belloc, 1868-1947","World War, 1914-1918 -- Fiction",PR,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction
22145,Text,2007-07-25,A Book of Burlesques,en,"Mencken, H. L. (Henry Louis), 1880-1956",Burlesques,PS,Humor; Browsing: Humour; Browsing: Literature
22146,Text,2007-07-25,De turkey and de law,en,"Hurston, Zora Neale, 1891-1960",American drama; African Americans -- Drama,PS,African American Writers; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22147,Text,2007-07-25,Peter the Hermit: A Tale of Enthusiasm,en,"Goodsell, Daniel A. (Daniel Ayres), 1840-1909","Peter, the Hermit, -1115",D,Browsing: History - European; Browsing: History - General
22148,Text,2007-07-25,A Narrative of some of the Lord's Dealings with George Müller. Part 3,en,"Müller, George, 1805-1898",Prayer; Orphanages -- Great Britain,HV,DE Lyrik; Browsing: Biographies; Browsing: Parenthood & Family Relations; Browsing: Religion/Spirituality/Paranormal
22149,Text,2007-07-26,"The Journal of Negro History, Volume 6, 1921",en,Various,African Americans -- Periodicals,E151,The Journal of Negro History; DE Lyrik; Browsing: Culture/Civilization/Society; Browsing: History - American
22150,Text,2007-07-26,"The Theories of Darwin and Their Relation to Philosophy, Religion, and Morality",en,"Schmid, Rudolf, 1828-1907; Zimmermann, G. A. (Gustav Adolf), 1850-1903 [Translator]",Religion and science; Evolution,QH,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal; Browsing: Science - Genetics/Biology/Evolution
22151,Text,2007-07-26,"A treatise of the cohabitacyon of the faithfull with the vnfaithfull.
Whereunto is added. A sermon made of the confessing of Christe and his gospell, and of the denyinge of the same.",en,"Vermigli, Pietro Martire, 1499-1562; Bullinger, Heinrich, 1504-1575; Becon, Thomas, 1512-1567 [Translator]",Catholic Church -- Controversial literature -- Early works to 1800,BX,Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal
22152,Text,2007-07-26,Possessed,en,"Moffett, Cleveland, 1863-1926",Science fiction,PS,Browsing: Literature; Browsing: Science-Fiction & Fantasy
22153,Text,2007-07-26,Pagan and Christian Rome,en,"Lanciani, Rodolfo Amedeo, 1847-1929",Christian antiquities -- Italy -- Rome; Rome (Italy) -- Antiquities,DG,Archaeology; Browsing: Archaeology; Browsing: History - European; Browsing: History - General
22154,Text,2007-07-26,Creatures of Vibration,en,"Vincent, Harl, 1893-1968",Science fiction,PS,Science Fiction; Astounding Stories; Browsing: Literature; Browsing: Science-Fiction & Fantasy
22155,Text,2007-07-26,The Expressman and the Detective,en,"Pinkerton, Allan, 1819-1884","Pinkerton, Allan, 1819-1884; Detectives -- United States -- Biography; Robbery -- United States -- Case studies",HV,Browsing: Biographies; Browsing: Crime/Mystery; Browsing: Sociology
22156,Text,2007-07-26,The Boy with the U. S. Weather Men,en,"Rolt-Wheeler, Francis, 1876-1960",United States. Weather Bureau -- Juvenile literature,PZ; QC,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Language & Communication
22157,Text,2007-07-27,Lectures on Stellar Statistics,en,"Charlier, C. V. L. (Carl Vilhelm Ludwig), 1862-1934",Astronomy; Stars; Milky Way,QB,Astronomy; Browsing: Science - Astronomy; Browsing: Science - General
22158,Text,2007-07-27,The Lure of the Mask,en,"MacGrath, Harold, 1871-1932; Anderson, Karl, 1874-1956 [Illustrator]; Fisher, Harrison, 1875-1934 [Illustrator]",Fiction,PS,"Bestsellers, American, 1895-1923; Browsing: Literature; Browsing: Fiction"
22159,Text,2007-07-27,Gespenster: Ein Familiendrama in drei Aufzügen,de,"Ibsen, Henrik, 1828-1906; Borch, M. von (Marie), 1853-1895 [Translator]",Families -- Drama; Europe -- Social conditions -- 19th century -- Drama; Tragedies; Mothers and sons -- Drama; Domestic drama; Norwegian drama -- Translations into German,PT,DE Drama; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22160,Text,2007-07-27,Studien und Plaudereien. First Series,de,"Stern, Sigmon M. (Sigmon Martin)",German language -- Composition and exercises; German language -- Conversation and phrase books,PD; PF,Language Education; DE Sachbuch; Browsing: Language & Communication; Browsing: Literature; Browsing: Teaching & Education
22161,Text,2007-07-27,"Chambers's Edinburgh Journal, No. 450
Volume 18, New Series, August 14, 1852",en,"Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",Periodicals,AP,Chambers's Edinburgh Journal; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - General
22162,Text,2007-07-28,Children of the Old Testament,en,Anonymous,Bible stories -- Old Testament; Bible. Old Testament -- Biography -- Juvenile literature; Children in the Bible -- Juvenile literature,BS; PZ,Browsing: Children & Young Adult Reading; Browsing: Religion/Spirituality/Paranormal
22163,Text,2007-07-28,"The Rover Boys on the Farm; or, Last Days at Putnam Hall",en,"Stratemeyer, Edward, 1862-1930",Schools -- Juvenile fiction; Brothers -- Juvenile fiction; Military education -- Juvenile fiction,PZ,School Stories; Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction
22164,Text,2007-07-28,A Modern Tomboy: A Story for Girls,en,"Meade, L. T., 1854-1914",Friendship -- Juvenile fiction; Girls -- Juvenile fiction,PZ,Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: Fiction
22165,Text,2007-07-28,My Studio Neighbors,en,"Gibson, W. Hamilton (William Hamilton), 1850-1896",Natural history; Natural history -- Outdoor books,QH,Biology; Browsing: Nature/Gardening/Animals; Browsing: Science - General; Browsing: Science - Genetics/Biology/Evolution
22166,Text,2007-07-28,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume IV, Georgia Narratives, Part 2",en,United States. Work Projects Administration,Enslaved persons -- Georgia -- Biography; Slave narratives -- Georgia; Enslaved persons -- Georgia -- Social conditions; Slavery -- Georgia; African Americans -- Georgia -- Biography,E300,Slavery; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: History - American
22167,Text,2007-07-28,"C. F. Gellerts Sämmtliche Schriften
Zweyter Theil",de,"Gellert, Christian Fürchtegott, 1715-1769",German poetry -- 18th century; Christian poetry,PT,DE Lyrik; Browsing: Language & Communication; Browsing: Literature; Browsing: Poetry
22168,Text,2007-07-28,"The golden spears, and other fairy tales",en,"Leamy, Edmund, 1848-1904; Turner, Corinne [Illustrator]",Fairy tales; Fairy tales -- Ireland,PZ,"Children's Myths, Fairy Tales, etc.; Browsing: Children & Young Adult Reading; Browsing: Literature"
22169,Text,2007-07-28,The Story of the Barbary Corsairs,en,"Lane-Poole, Stanley, 1854-1931; Kelley, J. D. Jerrold (James Douglas Jerrold), 1847-1922","Pirates; Africa, North -- History -- 1517-1882",DT,"Children's History; Pirates, Buccaneers, Corsairs, etc.; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: History - Warfare"
22170,Text,2007-07-30,Five Lectures on Blindness,en,"Foley, Kate M.",Blind,HV,Sociology; Browsing: Sociology
22171,Text,2007-07-30,The Radiant Shell,en,"Ernst, Paul, 1899-1985",Science fiction; Short stories,PS,Science Fiction; Astounding Stories; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
22172,Text,2007-07-30,"The Knickerbocker, or New-York Monthly Magazine, May 1844
Volume 23, Number 5",en,"Various; Clark, Lewis Gaylord, 1808-1873 [Editor]",Periodicals,AP,The Knickerbocker; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
22173,Text,2007-07-30,The Grell Mystery,en,"Froest, Frank",Detective and mystery stories,PR,Browsing: Crime/Mystery; Browsing: Literature
22174,Text,2007-07-30,Andrew Melville,en,"Morison, William, 1843-1937","Melville, Andrew, 1545-1622",BX,Famous Scots Series; Browsing: Biographies; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
22175,Text,2007-07-30,"Stories from the Ballads, Told to the Children",en,"Macgregor, Mary; Cameron, Katharine, 1874-1965 [Illustrator]","Children's stories; Ballads, Scots -- Adaptations; Ballads, English -- Adaptations",PZ,"Children's Anthologies; Children's Myths, Fairy Tales, etc.; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature"
22176,Text,2007-07-30,The Winged Men of Orcon: A Complete Novelette,en,"Sparks, David R.",Science fiction,PS,Science Fiction; Astounding Stories; Browsing: Literature; Browsing: Science-Fiction & Fantasy
22177,Text,2007-07-30,"Morality as a Religion
An exposition of some first principles",en,"Sullivan, W. R. Washington (William Robert Washington)",Ethics; Conduct of life; Religion and ethics,BJ,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
22178,Text,2007-07-30,"Chambers's Edinburgh Journal, No. 451
Volume 18, New Series, August 21, 1852",en,"Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",Periodicals,AP,Chambers's Edinburgh Journal; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
22179,Text,2007-07-30,Old Rail Fence Corners: The A. B. C's. of Minnesota History,en,"Morris, Lucy Leavenworth Wilder, 1865-1935 [Editor]","Frontier and pioneer life -- Minnesota; Pioneers -- Minnesota -- Biography; Minnesota -- History, Local; Minnesota -- Biography",F590.3,Browsing: Biographies; Browsing: History - American; Browsing: History - General
22180,Text,2007-07-30,Prairie Flowers,en,"Hendryx, James B. (James Beardsley), 1880-1963",Western stories,PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
22181,Text,2007-07-30,"The Maid and the Magpie
An Interesting Tale Founded on Facts",en,"Moreton, Charles",Children's poetry; False imprisonment -- Juvenile poetry; False testimony -- Juvenile poetry,PZ,Children's Picture Books; Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Poetry
22182,Text,2007-07-30,"The Best of the World's Classics, Vol. V (of X) - Great Britain and Ireland III",en,"Lodge, Henry Cabot, 1850-1924 [Editor]; Halsey, Francis W. (Francis Whiting), 1851-1919 [Editor]",Literature -- Collections,PR,Browsing: Literature
22183,Text,2007-07-31,"Wilton School; or, Harry Campbell's Revenge",en,"Weatherly, F. E. (Frederic Edward), 1848-1929",Schools -- Juvenile fiction; Boys -- Juvenile fiction; Revenge -- Juvenile fiction,PZ,School Stories; Browsing: Children & Young Adult Reading; Browsing: Fiction
22184,Text,2007-07-31,More Tales in the Land of Nursery Rhyme,en,"Marzials, Ada M.",Fairy tales; Children's stories; Nursery rhymes -- Adaptations,PZ,Browsing: Children & Young Adult Reading; Browsing: Literature
22185,Text,2007-07-31,Sonnie-Boy's People,en,"Connolly, James B. (James Brendan), 1868-1957","Sea stories; Short stories, American",PS,Browsing: Literature; Browsing: Fiction
22186,Text,2007-07-31,For the Liberty of Texas,en,"Stratemeyer, Edward, 1862-1930; Meynell, Louis, 1868- [Illustrator]","Texas -- History -- Revolution, 1835-1836 -- Fiction",PZ,Browsing: History - American; Browsing: Literature; Browsing: Fiction
22187,Text,2007-07-31,"Chambers's Edinburgh Journal, No. 452
Volume 18, New Series, August 28, 1852",en,"Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",Periodicals,AP,Chambers's Edinburgh Journal; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - General
22188,Text,2007-07-31,"The Comedies of Terence
Literally Translated into English Prose, with Notes",en,"Terence; Riley, Henry T. (Henry Thomas), 1816-1878 [Translator]",Terence -- Translations into English; Latin drama (Comedy) -- Translations into English,PA,Browsing: Literature
22189,Text,2007-08-01,Parables of the Cross,en,"Trotter, I. Lilias (Isabella Lilias), 1853-1928",Devotional literature; Salvation; Parables; Holy Cross,BV,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
22190,Text,2007-08-01,The Stamps of Canada,en,"Poole, Bertram W. H. (Bertram William Henry), 1880-1957",Postage stamps -- Canada,HE,Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference
22191,Text,2007-08-01,Half a Hero: A Novel,en,"Hope, Anthony, 1863-1933",Political fiction,PR,Browsing: Literature; Browsing: Politics; Browsing: Fiction
22192,Text,2007-08-01,Ce que vaut une femme: Traité d'éducation morale et pratique des jeunes filles,fr,"Roch, Éline",Young women -- Conduct of life,HQ,FR Education et Enseignement; Browsing: Culture/Civilization/Society; Browsing: Teaching & Education
22193,Text,2017-05-03,An Englishwoman's Home,en,"Swan, Annie S., 1859-1943","World War, 1914-1918 -- Personal narratives",D501,Browsing: History - General; Browsing: History - Warfare
22194,Text,2007-08-01,"Spring Street
A Story of Los Angeles",en,"Richardson, James Hugh, 1894-1963",Los Angeles (Calif.) -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
22195,Text,2007-08-01,"Little Tora, The Swedish Schoolmistress and Other Stories",en,"Baker, Sarah S. (Sarah Schoonmaker), 1824-1906",Children's stories; Children -- Conduct of life -- Juvenile fiction; Sweden -- Juvenile fiction; Clergy -- Juvenile fiction; Teachers -- Juvenile fiction,PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction
22196,Text,2007-08-01,"Little Miss Grouch
A Narrative Based on the Log of Alexander Forsyth Smith's Maiden Transatlantic Voyage",en,"Adams, Samuel Hopkins, 1871-1958; Crosby, Raymond Moreau, 1876-1945 [Illustrator]",Ocean travel -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
22197,Text,2007-08-01,The Goody-Naughty Book,en,"Rippey, Sarah Cory; Wright, Blanche Fisher [Illustrator]",Children's stories,PZ,Browsing: Children & Young Adult Reading; Browsing: Literature
22198,Text,2007-08-01,Two Sides of the Face: Midwinter Tales,en,"Quiller-Couch, Arthur, 1863-1944","Fiction; Short stories, English",PR,Browsing: Literature; Browsing: Fiction
22199,Text,2007-08-01,"Chambers's Edinburgh Journal, No. 453
Volume 18, New Series, September 4, 1852",en,"Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",Periodicals,AP,Chambers's Edinburgh Journal; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Other
22200,Text,2007-08-01,"Recollections
With Photogravure Portrait of the Author and a number of
Original Letters, of which one by George Meredith and
another by Robert Louis Stevenson are reproduced in
facsimile",en,"Murray, David Christie, 1847-1907","Novelists, English -- 19th century -- Biography; Murray, David Christie, 1847-1907",PR,Browsing: Biographies; Browsing: Literature
22201,Text,2007-08-01,"The Butterfly's Funeral
A Sequel to the Butterfly's Ball and Grasshopper's Feast",en,J. L. B.,Animals -- Juvenile poetry; Insects -- Juvenile poetry,PZ,Children's Picture Books; Browsing: Children & Young Adult Reading; Browsing: Poetry
22202,Text,2007-08-01,"Aunt Rachel
A Rustic Sentimental Comedy",en,"Murray, David Christie, 1847-1907",Fiction,PR,Browsing: Literature; Browsing: Fiction
22203,Text,2007-08-01,My Contemporaries In Fiction,en,"Murray, David Christie, 1847-1907",English fiction -- 19th century -- History and criticism,PR,Browsing: History - General; Browsing: Literature
22204,Text,2007-08-01,"The Making Of A Novelist
An Experiment In Autobiography",en,"Murray, David Christie, 1847-1907","Novelists, English -- 19th century -- Biography; Murray, David Christie, 1847-1907",PR,Browsing: Biographies; Browsing: Literature
22205,Text,2007-08-01,In Direst Peril,en,"Murray, David Christie, 1847-1907",Fiction,PR,Browsing: Literature; Browsing: Fiction
22206,Text,2007-08-01,"An Old Meerschaum
From Coals Of Fire And Other Stories, Volume II. (of III.)",en,"Murray, David Christie, 1847-1907",Fiction,PR,Browsing: Literature; Browsing: Fiction
22207,Text,2007-08-01,"The Romance Of Giovanni Calvotti
From Coals Of Fire And Other Stories, Volume II. (of III.)",en,"Murray, David Christie, 1847-1907",Fiction,PR,Browsing: Literature; Browsing: Fiction
22208,Text,2007-08-01,"Cruel Barbara Allen
From Coals Of Fire And Other Stories, Volume II. (of III.)",en,"Murray, David Christie, 1847-1907",Fiction,PR,Browsing: Literature; Browsing: Fiction
22209,Text,2007-08-01,"Siegfried, der Held",de,"Herzog, Rudolf, 1869-1943",Folklore -- Germany; Siegfried (Legendary character),PT,DE Kinderbuch; Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Literature
22210,Text,2007-08-01,In the forbidden land,en,"Landor, Arnold Henry Savage, 1865-1924",Tibet Autonomous Region (China) -- Description and travel,DS,Browsing: History - General; Browsing: Travel & Geography
