Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
41059,Text,2012-10-14,Divine Adventures: A Book of Verse,en,"Niendorff, John",Poetry,PS,Browsing: Literature; Browsing: Poetry
41060,Text,2012-10-14,Minnebrieven; Over Vrijen-Arbeid in Nederlandsch Indië; Indrukken van den dag,nl,"Multatuli, 1820-1887",Dutch literature,PT,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature
41061,Text,2012-10-14,The Land of Tomorrow,en,"Stephenson, William B., 1880-1955",Alaska -- Description and travel,F850.5,Browsing: History - American; Browsing: Travel & Geography
41062,Text,2012-10-14,The Final Figure,en,"Merwin, Sam, 1910-1996; Orban, Paul, 1896-1974 [Illustrator]",Science fiction; Ordnance -- Fiction,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
41063,Text,2012-10-14,The Storm. An Essay.,en,"Defoe, Daniel, 1661?-1731",Great Britain; Storms -- Great Britain -- Early works to 1800; Hurricanes -- Great Britain -- Early works to 1800; Cyclones -- Great Britain -- Early works to 1800,QC,Browsing: History - British; Browsing: Science - General
41064,Text,2012-10-14,The Chapter Ends,en,"Anderson, Poul, 1926-2001",Science fiction,PS,Science Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction
41065,Text,2012-10-14,Les Femmes de proie. Mademoiselle Cachemire,fr,"Claretie, Jules, 1840-1913",French fiction -- 19th century,PQ,FR Littérature; Browsing: History - General; Browsing: Literature; Browsing: Fiction
41066,Text,2012-10-14,"Essai sur l'Histoire Religieuse des Nations Slaves
(traduit de l'anglais)",fr,"Krasinski, Valerian, Count, 1780?-1855",Slavs -- Religion; Slavs -- History,BR,FR Histoire; Browsing: History - General; Browsing: History - Religious; Browsing: Religion/Spirituality/Paranormal
41067,Text,2012-10-15,Pioneer Roads and Experiences of Travelers (Volume 1),en,"Hulbert, Archer Butler, 1873-1933",Frontier and pioneer life -- Ohio River Valley; Pennsylvania -- Description and travel; Roads -- Ohio River Valley; Kentucky -- Description and travel,E151; HE,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
41068,Text,2012-10-15,Syndicalism in France,en,"Lorwin, Lewis L. (Lewis Levitzki), 1883-1970; Giddings, Franklin Henry, 1855-1931 [Author of introduction, etc.]",Labor unions -- France -- History; Syndicalism -- France,HC; HD,Browsing: History - General; Browsing: Politics; Browsing: Sociology
41069,Text,2012-10-15,"Calumny Refuted by Facts From Liberia
With Extracts From the Inaugural Address of the Coloured President Roberts; an Eloquent Speech of Hilary Teage, a Coloured Senator; and Extracts From a Discourse by H. H. Garnett, a Fugitive Slave, on the Past and Present Condition, and Destiny of the Coloured Race. Presented to the Boston Anti-slavery Bazaar, U.S., By the Author of ""A Tribute for the Negro.""",en,"Armistead, Wilson, 1819?-1868; Garnet, Henry Highland, 1815-1882 [Contributor]; Roberts, Joseph J. (Joseph Jenkins), 1809-1876 [Contributor]; Teage, Hilary [Contributor]",Liberia; African Americans -- Colonization -- Africa,DT,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Politics
41070,Text,2012-10-15,"The Native Races [of the Pacific states], Volume 1, Wild Tribes
The Works of Hubert Howe Bancroft, Volume 1",en,"Bancroft, Hubert Howe, 1832-1918",Indians of Mexico; Indians of Central America; Indians -- Bibliography; Indians of North America -- Pacific Coast of North America,E011,Browsing: Culture/Civilization/Society; Browsing: History - American
41071,Text,2012-10-15,A Son of Perdition: An Occult Romance,en,"Hume, Fergus, 1859-1932",Magicians -- Fiction; Clairvoyants -- Fiction; Occultism -- Fiction,PR,Browsing: Religion/Spirituality/Paranormal; Browsing: Fiction
